#{"t_start": 1763632026.0921216, "env_id": "SuperMarioBros-v2"}
r,l,t
5719.0,638,25.873176
2504.0,252,32.978917
6966.0,716,55.038381
5548.0,669,75.386593
5985.0,684,96.613909
5425.0,544,113.449708
5603.0,550,130.83095
5498.0,552,147.802614
5359.0,586,166.1199
