#{"t_start": 1766548197.144473, "env_id": "SuperMarioBros-v2"}
r,l,t
1154.0,321,5.733131
1972.0,613,13.397286
1476.0,391,18.946609
1426.0,362,23.641802
1285.0,2215,65.520319
1925.0,1951,109.995625
1463.0,648,133.907323
1019.0,262,137.155
