#{"t_start": 1766548352.35967, "env_id": "SuperMarioBros-v2"}
r,l,t
1440.0,558,7.841973
1371.0,370,12.760937
1947.0,553,20.118405
1554.0,1621,55.198658
1642.0,285,58.913856
1696.0,641,68.412918
1756.0,1115,97.519126
