#{"t_start": 1766546168.8898263, "env_id": "SuperMarioBros-v2"}
r,l,t
1938.0,659,16.718879
2165.0,1055,33.036941
1492.0,1226,71.908099
1663.0,1018,84.848159
1557.0,525,106.432353
1443.0,418,111.786874
1474.0,496,118.387117
1080.0,179,120.880566
2189.0,1212,155.53738
2225.0,760,165.401283
1446.0,323,169.473116
2231.0,744,196.322634
2313.0,667,205.196568
1401.0,427,211.022586
1423.0,383,216.385364
1574.0,540,238.950268
1239.0,400,244.515573
1458.0,1117,258.034733
3084.0,942,282.985194
